# d = 1, rhop = 1, e = 0.95, mu = 0.1, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 4.3432 1.8308 420.2798 0.4798
0.050 0.8855 0.3562 14.5766 1.0627
0.100 0.5850 0.2283 3.9010 1.3075
0.200 0.5943 0.2270 1.2328 1.2972
0.300 0.9243 0.3610 0.7735 1.0402
0.400 1.8306 0.7371 0.6199 0.7391
0.500 4.5998 1.8893 0.5612 0.4663
0.500 4.7462 1.9647 0.5634 0.4590
0.520 6.1059 2.4891 0.5538 0.4047
0.550 10.0122 3.9987 0.5414 0.3160
0.570 16.1997 6.3019 0.5326 0.2485
0.600 109.0915 36.6572 0.6790 0.0957
0.610 1010.7863 294.6262 1.0940 0.0315
0.612 2223.0048 629.6434 1.2749 0.0212
