# d = 1, rhop = 1, e = 0.8, mu = 0.5, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 1.1793 0.6731 114.0652 0.9209
0.050 0.2905 0.1636 4.8346 1.8554
0.100 0.2011 0.1163 1.3642 2.2298
0.200 0.2363 0.1403 0.5370 2.0572
0.300 0.3901 0.2391 0.3767 1.6010
0.400 0.8255 0.5434 0.2661 1.1006
0.500 3.0199 1.8997 0.2384 0.5754
0.500 2.9670 1.8791 0.2313 0.5805
0.520 4.6599 2.8079 0.2357 0.4632
0.540 9.3037 5.2483 0.2676 0.3278
0.550 15.0473 8.0235 0.2977 0.2578
0.560 28.6249 14.3111 0.3516 0.1869
0.570 69.1692 32.0753 0.4491 0.1202
0.578 209.6475 89.7034 0.6030 0.0691
0.584 1117.8424 441.8002 0.9670 0.0299
